experiment_name,step,metric,value,log_ids
a,solution_generation,solution_generation_time,14.20057201385498,202509020050511420430
a,solution_generation,number_of_columns,196.0,202509020050511420431
a,solution_generation,tmax,960.0,202509020050511420432
a,solution_generation,solution_generation_time,19.322081327438354,202509020051111606300
a,solution_generation,number_of_columns,165.0,202509020051111606301
a,solution_generation,tmax,960.0,202509020051111626402
0,graph_build,graph_build_time,6.0199809074401855,202509020052408563090
0,graph_build,number_of_nodes,520.0,202509020052408563091
0,graph_build,number_of_edges,114850.0,202509020052408563092
0,column_generation,column_generation_time,90.79417967796326,202509020054116524940
0,column_generation,number_of_iterations,10.0,202509020054116524941
0,column_generation,start_objective,181190.6337418892,202509020054116524942
0,column_generation,optimal_value,180661.8657418892,202509020054116524943
1,graph_build,graph_build_time,5.596418857574463,202509020055205491200
1,graph_build,number_of_nodes,520.0,202509020055205491201
1,graph_build,number_of_edges,114850.0,202509020055205491202
1,column_generation,column_generation_time,144.57650995254517,202509020057451256310
1,column_generation,number_of_iterations,19.0,202509020057451256311
1,column_generation,start_objective,181190.6337418893,202509020057451256312
1,column_generation,optimal_value,179355.9446669388,202509020057451256313
2,genetic_algorithm,ga_execution_time,54.638991355895996,202509020058398302070
2,genetic_algorithm,best_cost,2.9842105263157896,202509020058398302071
2,genetic_algorithm,best_v,190.0,202509020058398302072
2,genetic_algorithm,best_r,43.0,202509020058398302073
2,genetic_algorithm,best_u,22.0,202509020058398302074
2,genetic_algorithm,best_s,124.0,202509020058398302075
